  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, Bubble_cmp, Bubble_swaps, Bubble_time, Merge_cmp, Merge_swaps, Merge_time
  0,             1,               0,              1,         1,           0,          0,          1,            0,           0,         1,           0,          0
  1,             1,               0,              0,         4,           1,          1,          1,            0,           0,         1,           0,          0
  2,             1,               0,              0,        14,           2,          1,          1,            0,           0,        12,           2,          2
  3,             3,               1,              0,        25,           3,          2,          5,            1,           0,        24,           5,          3
  4,             5,               1,              0,        31,           4,          2,         11,            1,           1,        37,           8,          4
  5,             8,               2,              1,        46,           5,          3,         19,            2,           1,        50,          12,          5
  6,            10,               2,              1,        60,           7,          5,         29,            2,           1,        70,          16,          7
  7,            16,               6,              1,        76,           9,          6,         41,            6,           2,        86,          20,          8
  8,            20,               8,              1,        99,           9,          5,         55,            8,           3,       104,          24,         10
  9,            28,              15,              2,       103,          12,          6,         71,           15,           3,       123,          29,         11
 10,            35,              20,              3,       121,          13,          7,         89,           20,           5,       135,          34,         11
 11,            44,              27,              3,       149,          16,         11,        109,           27,           9,       156,          39,         17
 12,            51,              32,              4,       171,          17,         11,        131,           32,           7,       177,          44,         17
 13,            56,              35,              5,       169,          17,         15,        155,           35,           9,       199,          49,         20
 14,            68,              45,              6,       196,          19,         13,        181,           45,          11,       208,          54,         23
 15,            73,              48,              6,       219,          23,         14,        209,           48,          11,       230,          59,         22
 16,            82,              55,              6,       246,          24,         16,        239,           55,          15,       252,          64,         22
 17,            86,              57,              8,       269,          23,         22,        271,           57,          13,       275,          70,         22
 18,           100,              69,              7,       265,          27,         14,        305,           69,          16,       300,          76,         28
 19,           110,              77,             14,       330,          26,         16,        341,           77,          17,       315,          82,         25
 20,           114,              79,              8,       347,          28,         19,        379,           79,          21,       335,          88,         25
 21,           134,              98,             10,       382,          31,         19,        419,           98,          20,       357,          94,         28
 22,           154,             116,             12,       413,          30,         21,        461,          116,          23,       375,         100,         27
 23,           176,             136,             13,       405,          37,         22,        505,          136,          26,       405,         106,         29
 24,           191,             149,             14,       395,          40,         51,        551,          149,          29,       428,         112,         31
 25,           206,             162,             16,       431,          43,         19,        599,          162,          29,       453,         118,         32
 26,           223,             177,             17,       440,          42,         19,        649,          177,          31,       459,         124,         21
 27,           237,             189,             17,       495,          46,         21,        701,          189,          36,       491,         130,         22
 28,           262,             212,             20,       527,          45,         24,        755,          212,          49,       504,         136,         23
 29,           269,             217,             21,       549,          47,         25,        811,          217,          39,       527,         142,         24
 30,           277,             223,             22,       529,          49,         23,        869,          223,          45,       556,         148,         32
 31,           285,             229,             22,       567,          53,         24,        929,          229,          48,       574,         154,         26
 32,           299,             241,             23,       598,          49,         37,        991,          241,          48,       603,         160,         29
 33,           312,             252,             22,       629,          50,         28,       1055,          252,          51,       627,         167,         29
 34,           326,             264,             27,       651,          57,         29,       1121,          264,          53,       659,         174,         35
 35,           355,             291,             28,       642,          55,         28,       1189,          291,          59,       676,         181,         30
 36,           364,             298,             26,       676,          62,         31,       1259,          298,          62,       715,         188,         32
 37,           393,             325,             29,       700,          60,         29,       1331,          325,          66,       743,         195,         34
 38,           423,             353,             33,       748,          64,         33,       1405,          353,          66,       741,         202,         37
 39,           453,             381,             35,       795,          62,         38,       1481,          381,          76,       765,         209,         34
 40,           458,             384,             32,       808,          68,         37,       1559,          384,          81,       788,         216,         36
 41,           498,             423,             38,       755,          72,         27,       1639,          423,          89,       811,         223,         37
 42,           527,             450,             41,       873,          75,          6,       1721,          450,          82,       837,         230,          9
 43,           550,             471,             41,       827,          74,          6,       1805,          471,          92,       868,         237,          6
 44,           581,             500,             44,       876,          70,          6,       1891,          500,          92,       880,         244,          6
 45,           588,             505,             49,       911,          76,          6,       1979,          505,          98,       896,         251,          6
 46,           603,             518,             44,       953,          83,          6,       2069,          518,         100,       953,         258,          7
 47,           626,             539,             48,       909,          84,          6,       2161,          539,         108,       977,         265,          7
 48,           657,             568,             56,       970,          81,          7,       2255,          568,         106,       991,         272,          7
 49,           683,             592,             50,       985,          83,          6,       2351,          592,         113,      1018,         279,          9
 50,           726,             633,             53,      1076,          86,          7,       2449,          633,         119,      1059,         286,          7
 51,           766,             671,             74,      1086,          89,         15,       2549,          671,         158,      1084,         293,         13
 52,           777,             680,             59,      1175,          90,          7,       2651,          680,         133,      1084,         300,          9
 53,           781,             682,             61,      1058,          93,          7,       2755,          682,         131,      1111,         307,          8
 54,           801,             700,             64,      1362,          90,          8,       2861,          700,         156,      1142,         314,          8
 55,           854,             751,             64,      1144,          97,          8,       2969,          751,         140,      1177,         321,          8
 56,           903,             798,             74,      1183,         101,          8,       3079,          798,         150,      1193,         328,          8
 57,           940,             833,             88,      1188,         103,         13,       3191,          833,         193,      1215,         335,         14
 58,           965,             856,             89,      1228,         107,         15,       3305,          856,         205,      1242,         342,         14
 59,          1007,             896,             91,      1364,         102,         14,       3421,          896,         207,      1273,         349,         14
 60,          1066,             953,            101,      1324,         106,         14,       3539,          953,         227,      1301,         356,         12
 61,          1078,             963,             81,      1402,         114,          9,       3659,          963,         183,      1326,         363,         14
 62,          1128,            1011,            103,      1313,         117,         14,       3781,         1011,         202,      1348,         370,          9
 63,          1160,            1041,             86,      1411,         115,          9,       3905,         1041,         183,      1372,         377,          9
 64,          1168,            1047,             85,      1464,         121,         15,       4031,         1047,         233,      1407,         384,          9
 65,          1193,            1070,            125,      1478,         122,          9,       4159,         1070,         207,      1431,         392,         10
 66,          1204,            1079,             89,      1528,         128,         10,       4289,         1079,         206,      1462,         400,         10
 67,          1256,            1129,            125,      1543,         130,         12,       4421,         1129,         235,      1493,         408,         18
 68,          1319,            1190,            108,      1707,         125,         11,       4555,         1190,         213,      1527,         416,         10
 69,          1386,            1255,            106,      1655,         132,         10,       4691,         1255,         231,      1555,         424,         18
 70,          1451,            1318,            137,      1928,         126,         17,       4829,         1318,         279,      1563,         432,         11
 71,          1518,            1383,            120,      1601,         138,         10,       4969,         1383,         247,      1585,         440,         11
 72,          1573,            1436,            120,      1750,         139,         10,       5111,         1436,         249,      1632,         448,         11
 73,          1575,            1436,            120,      1716,         140,         11,       5255,         1436,         258,      1665,         456,         11
 74,          1644,            1503,            144,      1593,         143,         14,       5401,         1503,         269,      1690,         464,         13
 75,          1690,            1547,            129,      1720,         143,         10,       5549,         1547,         278,      1716,         472,         11
 76,          1757,            1612,            138,      1824,         146,         11,       5699,         1612,         141,      1730,         480,         12
 77,          1782,            1635,            140,      1921,         152,         11,       5851,         1635,          57,      1748,         488,         11
 78,          1787,            1638,            149,      1783,         153,         11,       6005,         1638,          72,      1764,         496,         12
 79,          1824,            1673,            142,      1872,         155,         11,       6161,         1673,          83,      1811,         504,         14
 80,          1893,            1740,            145,      1934,         153,         13,       6319,         1740,          43,      1821,         512,         12
 81,          1899,            1744,            151,      1914,         159,         12,       6479,         1744,          39,      1849,         520,         13
 82,          1940,            1783,            145,      1984,         157,         18,       6641,         1783,          39,      1882,         528,         12
 83,          1964,            1805,            149,      1942,         166,         12,       6805,         1805,          41,      1914,         536,        526
 84,          2016,            1855,            160,      2098,         160,         13,       6971,         1855,          41,      1938,         544,         13
 85,          2022,            1859,            162,      2029,         163,         12,       7139,         1859,          43,      1970,         552,         13
 86,          2068,            1903,            160,      2192,         166,         12,       7309,         1903,          43,      1997,         560,         13
 87,          2096,            1929,            162,      2107,         167,         14,       7481,         1929,          52,      2027,         568,         20
 88,          2142,            1973,            178,      2086,         176,         13,       7655,         1973,          44,      2037,         576,         13
 89,          2182,            2011,            163,      2111,         174,         13,       7831,         2011,          46,      2064,         584,         13
 90,          2219,            2046,            191,      2199,         176,         13,       8009,         2046,          46,      2078,         592,         13
 91,          2275,            2100,            168,      2246,         182,         13,       8189,         2100,          47,      2120,         600,         14
 92,          2289,            2112,            180,      2257,         184,         13,       8371,         2112,          49,      2173,         608,         14
 93,          2304,            2125,            180,      2143,         191,         14,       8555,         2125,          52,      2204,         616,         15
 94,          2348,            2167,             88,      2206,         195,         14,       8741,         2167,          51,      2243,         624,         18
 95,          2389,            2206,             66,      2307,         192,         14,       8929,         2206,          62,      2252,         632,         15
 96,          2398,            2213,             51,      2356,         191,         14,       9119,         2213,          56,      2277,         640,         14
 97,          2475,            2288,             34,      2301,         199,         17,       9311,         2288,          54,      2303,         648,         15
 98,          2518,            2329,             80,      2733,         199,         17,       9505,         2329,          54,      2350,         656,         16
 99,          2615,            2424,             56,      2446,         199,         14,       9701,         2424,          56,      2361,         664,         15
100,          2701,            2508,             92,      2460,         200,         15,       9899,         2508,          58,      2419,         672,         16
